"","temp","content","method","refiner","length"
"1","-","-","-","-",7.037
"2","+","-","-","-",14.707
"3","-","+","-","-",11.635
"4","+","+","-","-",17.273
"5","-","-","+","-",10.403
"6","+","-","+","-",4.368
"7","-","+","+","-",9.36
"8","+","+","+","-",14.44
"9","-","-","-","+",8.561
"10","+","-","-","+",16.867
"11","-","+","-","+",13.876
"12","+","+","-","+",19.824
"13","-","-","+","+",11.846
"14","+","-","+","+",6.125
"15","-","+","+","+",11.19
"16","+","+","+","+",15.653
"17","-","-","-","-",6.376
"18","+","-","-","-",15.219
"19","-","+","-","-",12.089
"20","+","+","-","-",17.815
"21","-","-","+","-",10.151
"22","+","-","+","-",4.098
"23","-","+","+","-",9.253
"24","+","+","+","-",12.923
"25","-","-","-","+",8.951
"26","+","-","-","+",17.052
"27","-","+","-","+",13.658
"28","+","+","-","+",19.639
"29","-","-","+","+",12.337
"30","+","-","+","+",5.904
"31","-","+","+","+",10.935
"32","+","+","+","+",15.053
