"","run","std.roder","time","temp","catalyst","Block","conversion","activity"
"1",1,1,-1,-1,-1,"1",74,53.2
"2",2,2,1,-1,-1,"1",51,62.9
"3",3,3,-1,1,-1,"1",88,53.4
"4",4,4,1,1,-1,"1",70,62.6
"5",5,5,-1,-1,1,"1",71,57.3
"6",6,6,1,-1,1,"1",90,67.9
"7",7,7,-1,1,1,"1",66,59.8
"8",8,8,1,1,1,"1",97,67.8
"9",9,9,0,0,0,"1",81,59.2
"10",10,10,0,0,0,"1",75,60.4
"11",11,11,0,0,0,"1",76,59.1
"12",12,12,0,0,0,"1",83,60.6
"13",1,1,-1.68179283050743,0,0,"2",76,59.1
"14",2,2,1.68179283050743,0,0,"2",79,65.9
"15",3,3,0,-1.68179283050743,0,"2",85,60
"16",4,4,0,1.68179283050743,0,"2",97,60.7
"17",5,5,0,0,-1.68179283050743,"2",35,57.4
"18",6,6,0,0,1.68179283050743,"2",81,63.2
"19",7,7,0,0,0,"2",80,60.8
"20",8,8,0,0,0,"2",91,38.9
